text,label
Barómetro #Business: Iberia (57%) y Vueling (61%) son las compañías aéreas más utilizadas en los #viajes de… https://t.co/zDwrqB2hde,1
Perfecta para viaje Super divertido para jugar fuera de casa con los niños,1
"Funciona muy bien Lo necesitaba para escuchar la televisión que no tiene bluetooth con unos auriculares inalámbricos y que si tienen bluetooth y así no molestar al de al lado de la habitación. Se conectan enseguida y funcionan muy bien. El vídeo de youtube explica muy bien. Tu puedes tener la tele sin voz y estar escuchando perfectamente el programa a través de los auriculares,",1
ideal es el modelo que aparece en pantalla. precio ideal y servido perfecto,1
Básica. Cara para la calidad Básica. Cara para su calidad,0
@Iberia llevo 19 minutos al teléfono para hacer un cambio de billete y nada,0
"Muy contrnto Buena calidad, confortables.",1
"La calidad de los materiales es mejorable, pero el precio es bastante bueno Lo dicho en el título. Son mi calzado de diario y les doy mucho uso (3ª vez que las compro de hecho). La calidad es bastante buena, pero mejorable, aunque a este precio no conozco nada mejor.",1
"Buena compra. Buena relación calidad-precio. Los altavoces incorporados no aportan mucho, son de muy poca calidad. La aguja que trae es mala, recomendable sustituirla. Es bastante bonito aunque el brazo se ve un poco cutre. En general buena compra y contento por poder volver a escuchar mis viejos vinilos.",1
"edredón doble los corchetes que deben unir los dos edredones son endebles y no cumplen su función que es la de mantenerlos unidos; por otra parte, la distancia entre los corchetes de uno y otro edredón no siempre coincide.",0
"Un desastre En la primera vez de uso, se le salieron las ruedas. Le dimos una segunda oportunidad y volvió a pasar los mismo. He procedido a la devolución.",0
@UrquiagaAgur @Iberia A mi me ha pasado lo mismo y ni siquiera tienen la decencia de contestarme los mensajes direc… https://t.co/EpGWRbp8j9,0
Ajusta muy bien y el material es de calidad La funda ajusta muy bien al telefono y el material es de calidad,1
@pazpena @Iberia RE! Pero hasta los PDF me daba error descargandolos.,0
Ryanair contraataca a Iberia Express y ofrece 100.000 asientos baratos después de la promoción de vuelos a 5€… https://t.co/j6mOqMe84N,1
"Huele muy bien Llego muy rapido y en perfecto estado , el suavizante huele muy bien y el olor dura en la ropa",1
"Poco uso y descosida La bolsa es bonita pero no lleva ni 2 meses de uso y ya se ha descosido y eso que no lleva peso, solo bata del colegio y desayuno.",0
"Encantado Era para un regalo para mi hija de 6 años y la monto ella solita, con eso lo digo todo el montaje facil facil. Luego es comoda y preciosa la verdad.",1
Vendedor con malas artes El producto está bien. Era un regalo y tenía que comprarlo para tenerlo a tiempo. Realicé una pregunta al vendedor para asegurarme de cuándo podría recibirlo y acto seguido el vendedor aumentó el precio unos 3€...,1
"Ale, a Gatwick.

Iberia, panda de INÚTILES REDOMADOS",0
"Esmaltes semi Los colores no se corresponden muy bien a los de La foto , pero la calidad de los esmaltes muy buena",0
"Teclas La funda está bien, pero hay teclas que no se corresponden con la distribución del teclado, sobre todo las de los caracteres especiales. Hay que ir probando para poner una tilde. Las letras funcionan bien. Desde luego no es el mejor teclado para una tablet. Es posible que la devuelva",0
@Ryanair Alicante 👍🏼👍🏼👍🏼,1
Ole al piloto que acaba de aterrizar el avión @Iberia Madrid-Almería #IB8592 Se merece un monumento! #turbulence… https://t.co/5LhMLruuMM,1
