text,label
"Alisson puede estar más tranquilo, no cargará con el peso de ser el arquero mas caro de la historia. Si es que eso le pesaba en algo. Gracias @ChelseaFC",2
"No se que escribir con respecto al juego de hoy, sigo en el shock en el que me dejó el Gol de Kane.

Me dedicaré a leer las opiniones #MUFC",1
"Precioso el estadio Olímpico de Londres, casa de los Hammers @WestHamUtd https://t.co/hSEM6tkCdt",2
"Hoy se vera si vamos por buen camino, faltan muchos jugadores, vamos con todo #Chelsea 

#CFCes #CommunityShield ??",2
Vamos!!!! Ya es la recta final Falta poco! A ganarla con #Decker30K #HereToCreate @adidasfootball @SebasDecker #MUFC #GGMU https://t.co/xCsd5DwJah,1
"En estas épocas en que Union me hace doler el corazón, el Liverpool me recuerda que el futbol es hermoso.

No son ni comparables los sentimientos, pero así todo, sigo alegrandome por cada gol Red.

You Never Walk Alone #YNWA https://t.co/aw6n3L7OqK",2
@WestHamUtd @JackWilshere @F_Andersoon @Ing_Pellegrini Buen futuro con Felipe,2
"NI UN DIA HA PASADO DE QUE CERRARON EL MERCADO EN INGLATERRA Y YA ESTAN TIRANDO NOTICIAS DE FEKIR AL LIVERPOOL EN ENERO.
HAY BALAS PARA TODOS USTEDES SI NO LLEGA EL CAMPEÓN DEL MUNDO @LFC https://t.co/sRu9ou2GcT",1
"Esta banda quiere y quiere, se ganó con 2 de menos, mucho huevo!??? #CLFC https://t.co/2dadTmbCf4",2
"Oigan, Alisson Becker (el portero de Brasil al que todos le estaban haciendo hijos) ya es Red, qué precioso ? #LFC",2
"Mirad putos gilipollas @Arsenal como os desagais del viejo cadáver decrépito fracasado francés de Wenger para traer al puto perdedor arruinador de fábricas de gominas de Emery my voy a cagar tan alto en la puta que voy a parar las manijas del puto Big Ben
INÚTILES DE LOS COJONES",1
Excelente asistencia de #SalomonRondon para que #Yedlin empate el partido #ManCity vs #Newcastle 1-1 min. 31. #PremierLeague #LaVinotinto,2
"@MrSnazzy22 @MadridistaDeBie @hazardeden10 Tienes razón. Igual si les hacen falta cracks les vendemos a mayoral y Don RDT a buen precio, mira tremenda ganga. @ChelseaFC",2
@yamilcristian @la_grulla5 @FulhamFC El representante es el problema acá me parece.,1
"Hemos sido superiores al Tottenham y por suerte hemos marcado, pero también desaprovechamos oportunidades claras, a ver si en el segundo tiempo somos mas contundentes. #YNWA",2
@vengapregunteme @LCFC @premierleague Esta bien. Ya veremos como lo utiliza el Pep. Esta Premier que viene pinta prometedora,2
"@RengoCallejero8 @nahuel_paletta @MarceloCaczurak @pasionvs @Feeli7 @Velez @WatfordFC a belesh le dan un gol de camps el cual la pelota ni habia entrado.... 1-1.. empezamos mal, despues, un penal muy dudoso que vino en la expulsion de fabri y se descontrolo todo, penal de chilavert y 2-1.. despues vino la expulsion del diego y es historia, belesh gano el titulo",1
"Buff. Espectacular. Me recuerda a la meyba. Por cierto, compartimos main sponsor con el @WestHamUtd . https://t.co/6yj3PE0Fvh",2
"@admdorjri @cesaralo @Everton Mejor dicho, qué le enseñe a jugar fútbol... Pobre grone",1
"Este 28 de agosto cumple años el jugador del @ChelseaFC @CesarAzpi. ¡¡MUCHAS FELICIDADES!! ???????

#Felicidades #Azpilicueta #Chelsea #BeSoccer https://t.co/rcaMynE4xx",2
"@toniemcee Si, el @ChelseaFC nos va a vender a @thibautcourtois @hazardeden10 y @marcosalonso03 el mismo año y a buen precio.....",2
"@FCBarcelona_es @Everton Umtiti y Lenglet son jovenes, Vermaelen nunca esta y Pique le esta pesando la edad y ya no da tantas garantias como antes. Se tenia que quedar el o Marlon no los dos.",1
@Arsenal era muy dificil contratar a pochettino? zidanne es inalcanzable?,1
Que bien conoce de cuando estuvo en el #Everton #robertomartinez a #lukaku lo esta explotando muy bien en el #Mundial #rusia2018,2
"@Spurs_ES @ErikLamela Grande Erick, de lo mejorcito del @SpursOfficial",2
No me gusta dar por sentadas estas cosas pero es inevitable que me ilusione. Empieza a haber portero! ?? #LFC,1
"@CAMADE24267 @InfoFichajes1 @FCBarcelona @ChelseaFC Pues no, fichajon seria Kante, Hazard, Mbappe... No uno de 30 años que en la copa del mundo fue una decepción.",1
"#HoyCumple 33 años @filipeluis??:
Consiguió 9 títulos en su carrera, incluyendo 2 #UEL con @Atleti, 1 #PremierLeague con @ChelseaFC y la #CopaConfederaciones 2013 con #Brasil. Disputó #Rusia2018 con la Canarinha. ¡Feliz Cumple! ?? https://t.co/NSjaT9HJyQ",2
"@FCBarcelona_es - @SpursOfficial PARTIDAZO de mis dos equipos!!! me gusta esta champions. 

#SorteoChampions",2
?Ya llegó a nuestra tienda la nueva camiseta del #WestHam ? PRECIOSA? https://t.co/x6gGfXQucr,2
"@BETO_VALDES @FCBarcelona @realmadrid @Atleti @juventusfc @SpursOfficial @ManCity @PSG_espanol @Cruz_Azul_FC Me caes bien cuando eres objetivo porque eres muy inteligente, pero ahora sí t desconoci, de verdad ojalá les alcance para el campeonato porque de nada va a servir tanta emoción e ilusión de ustedes nuestros hijos cementeros",2
"@NicoSurribas @malacridac @FichajeGoleador @FCBarcelona_es @ChelseaFC_Sp @ChelseaGoleador @ChelseaFC @FCBarcelona_GO @FCBarcelona @willianborges88 Nunca dije que se fuera,me parece un excelente jugador lo dije a modo de comenzar acomodar el equipo tal vez tú fuiste el que no entendiste, buen día chico",2
El enfado de los aficionados ingleses por la más que posible salida de @mbatshuayi salga del @Arsenal en dirección a España es monumental (comparan su rendimiento superior en comparación con Morata). Interesante lectura.,2
"@Javier_Torrex @ChelseaFC @ChelseaGoleador @TrueChelseaFans @PipeSierraR @ChelseaTransfe7 @Planeta_CFC @ChelseaPuebla @WikiChelsea @talkchelsea @ChelseaFC_Sp La idea está bien lo único malo es que de tus fichajes posibles solo está Pulisic, Jorghino y Pavard son buenos pero ya nos adelantaron, pero la idea de un volante experimentado ?, el único problema es conseguirlo como vez ya quedan pocos.",0
"Que buen partido, ya 4-0 y sin despeinarse!! Que gran equipo tiene para poder competir este año por la #PremierLeague COME ON REDS @LFC",2
"@Everton A partir de ahora sois mi 2 equipo preferido de la Premier, enhorabuena, con un poco de suerte me compro la camiseta hahahah",2
Por favor @ChampionsLeague una Copa para la @Roma y otra para el @LFC. Puro espectáculo el que nos han regalado en la eliminatoria.,2
@Mateo_Peralta @Sporf @juanmata8 @CommonGoalOrg @ManUtd @premierleague @SeFutbol @NachoSimone Lo mejor de todo es que le devolvieron el skill,2
